,DLNR ID,Alert ON (ft),Alert OFF (ft)
1,KA-0010,12.0,11.0
5,KA-0012,45.0,44.0
13,KA-0014,7.0,6.5
19,KA-0015,30.5,30.0
20,KA-0016,32.0,31.5
11,KA-0024,10.5,9.5
6,KA-0060,30.5,29.5
14,KA-0098,100.0,99.0
0,KA-0099,19.0,17.0
7,KA-0103,49.0,48.0
8,KA-0104,28.0,27.0
9,KA-0112,34.0,33.0
10,KA-0117,22.0,21.0
12,KA-0119,8.0,7.0
16,KA-0120,38.0,37.0
15,KA-0121,21.0,20.0
25,MA-0068,18.0,17.0
24,MA-0069,30.0,29.0
2,MA-0073,22.0,21.0
21,MA-0094,20.0,19.0
22,MA-0095,20.0,19.0
23,MA-0096,27.0,26.0
26,OA-0000,20.0,19.0
18,OA-0001,33.0,30.0
4,OA-0018,981.4,980.4
17,OA-0124,166.8,166.3
3,OA-0154,394.0,393.0
